instance_id,canonical_smiles
CHEMBL2112509,CCOC(=O)[C@H]1CC2C[C@@H](CC1N2C)OC(c3ccc(F)cc3)c4ccc(F)cc4
CHEMBL2420824,Clc1cccc(Cl)c1C(=O)Nc2ccnc(Nc3ccccn3)c2
CHEMBL1347555,CC(=O)Nc1sc(C)c(C)c1C(=O)OCCOc2ccccc2
CHEMBL1446126,CN(Cc1ccc(OC(F)F)cc1)C(=O)c2ccc3nccnc3c2
CHEMBL407658,CCN[C@H](CN[C@H](CN[C@H](CN[C@H](CN[C@H](CN[C@H](CN)CCSC)Cc1ccc(O)cc1)Cc2ccccc2)Cc3ccccc3)Cc4ccc(O)cc4)Cc5ccc(O)cc5
CHEMBL454913,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c3ccccc3N1C(=O)Nc4cccc(Cl)c4
CHEMBL470317,O=C1Cc2cc(Nc3ncc(C#N)c(NCc4ccccn4)n3)ccc2N1
CHEMBL1305131,Oc1ccccc1C(=O)CC2=NCCNC(C2)c3ccccc3
CHEMBL3198037,Clc1ccc(cc1)S(=O)(=O)\N=C/2\N(C(=O)Nc3ccccc23)c4ccccc4
CHEMBL184712,Cc1ccc(NC(=O)c2cc(F)cc(c2)N3CCCC3)cc1NC(=O)c4ccc(OCc5ccccn5)cc4
CHEMBL2030603,COc1c(Cl)cc(cc1Cl)C2C(=CNC=C2C(=O)OC\C=C\c3ccccc3)C(=O)O
CHEMBL338967,OCC(CO)NN1C(=O)c2c(C1=O)c3c4ccc(O)cc4n([C@@H]5OC[C@@H](O)[C@H](O)[C@H]5O)c3c6[nH]c7cc(O)ccc7c26
CHEMBL3697477,CCN(C1CCOCC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4ccc(CN5CCCOCC5)cc4
CHEMBL232096,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(Nc4ccc5ccccc5n4)nc(nc23)n6cc(CO)cn6
CHEMBL1528768,CCCCCCOC(=O)Sc1oc2ccccc2n1
CHEMBL3702580,CS(=O)(=O)c1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@]34CCC[C@@H](CN3)C4)C#N)cc2
CHEMBL1774349,CCNC(=O)Nc1ccc(cc1)c2nc(N3CCOCC3)c4sc(cc4n2)C(C)(C)O
CHEMBL1800694,FC(F)(F)c1cnc(N2CCCN(CC2)c3nc(ns3)c4ccccc4)c(Cl)c1
CHEMBL3692333,CC(C)[C@H](CO)NCc1nc(ccc1F)C(=C)c2ccccc2
CHEMBL3658640,Cc1cc(ccn1)c2n[nH]c3cc(NC(=O)N[C@@H]4CCc5ccc(F)cc45)ncc23
CHEMBL2310882,COC(=O)C1[C@H]2CCC(C[C@@H]1c3ccc(\C=C/c4ccccc4)cc3)N2C
CHEMBL1472492,CCCCCCCCCCCCCCCC[n+]1ccn(Cc2ccccc2)c1C
CHEMBL3967884,CN(C1(CC1)C(=O)NC2C3CC4CC2CC(C4)(C3)C(=O)N)S(=O)(=O)c5ccccc5F
CHEMBL3897126,CN(C)CCCn1c(NC(=O)c2ccc3cc4C(=O)NCC5(CCNCC5)Cn4c3c2)nc6ccccc16
CHEMBL3184833,Cc1cc(Br)cn2c(Cc3cccc(F)c3)c(nc12)c4occc4
CHEMBL3654446,CC1(C)OB(OC1(C)C)c2ccc(OC(F)(F)F)cc2CSc3ccc(cn3)C(=O)Nc4ccc(F)cc4
CHEMBL193010,Oc1cccc(c1)c2ccc3c(O)cccc3c2
CHEMBL3127500,CS(=O)(=O)c1cccc(c1)S(=O)(=O)c2ccc(NC(=O)[C@@H]3C[C@H]3c4cccnc4)cc2
CHEMBL1234200,CS(=O)(=O)c1cccc(c1)c2cc(ncn2)N3CC[C@@H]([C@@H](N)C3)c4cc(F)c(F)cc4F
CHEMBL2170417,Oc1cc(Nc2ncc(F)c(Nc3ccccc3Cl)n2)ccc1c4nnn[nH]4
CHEMBL3660098,Cc1onc(C)c1S(=O)(=O)Nc2cc(cnc2C)C#Cc3c(C)ncnc3N4CCOCC4
